country,secondary_enrollment,tertiary_enrollment,infant_mortality,life_expectancy,gdp_per_capita,gini_index,poverty_1.90_USD,high_tech_exports,rd_researchers,income_top_20_percent,slums,corruption,gov_effectivness,positive_affect,generosity,freedom
Malta,88.59995714285715,48.22020416259765,5.75,81.86878048780488,25877.99465493976,29.27,0.13,35.9750103512858,1881.2064111111113,37.989999999999995,NaN,55.875,1.0559214651584625,0.6394024014472961,0.2916542500257492,0.8961181104183197
Mauritania,25.687201428571427,5.152454482184515,55.67999999999999,63.766200000000005,1693.7161003528574,32.6,6,0.007595662735034851,NaN,40.2,77.53333282470703,29,-0.857013151049614,0.7192138969898224,-0.053149168379604816,0.5329830527305603
Mauritius,84.6273725,39.00097122192382,13.09,74.02239024390244,9801.205891748597,37.65,0.4,1.0377881681786743,327.83267,45.400000000000006,NaN,52.875,0.9330610513687134,0.7045975923538208,0.07631914441784222,0.8606655399004618
Mexico,76.02541125,34.16058673858642,14.219999999999999,74.9694,9865.709282706037,47.8,3.5799999999999996,20.80124595876542,291.18658714285715,53.6,14.366666793823233,31.25,0.14314443431794643,0.757822597026825,-0.1341466173529625,0.7967175841331482
Moldova,77.46024444444444,53.98749160766604,13.669999999999998,71.1072,3292.1007394659255,27.810000000000002,0.15,4.932699946206767,743.8744388888889,37.43,61.350000381469755,33.125,-0.5334573179483414,0.5664449393749237,-0.0779571432620287,0.6422771692276001
Mongolia,NaN,62.41982879638671,17.36,68.8344,3905.9856745690536,32.96666666666667,0.4666666666666666,11.99458630941244,NaN,41.1,39.766666412353494,37.25,-0.39881289899349215,0.5430475175380707,0.1210759248584509,0.7046093285083771
Montenegro,89.48804333333334,55.50239410400392,3.66,76.40048780487805,7425.27506224764,38.6,2.642857142857143,8.45156126847822,707.7268628571428,43.699999999999996,27.1000003814697,44,0.148550146818161,0.5174669355154038,-0.11928264200687408,0.5663273006677627
Morocco,57.903624,26.70230655670166,21.15,75.5803,3036.232959019007,39.5,0.9,4.036528860444033,902.6709579999999,47,11.37500023841856,38.75,-0.11174714677035809,0.6125028803944588,-0.21600408520963457,0.7159912784894308
Mozambique,18.315106666666665,6.109306706322564,62.39,56.6136,555.2342270581147,54,63.7,9.482024557759628,40.868135,59.5,78.67499923706055,28,-0.7383991658687592,0.5951002359390258,0.03203890174627304,0.808307683467865
Myanmar,54.753477999999994,15.511046727498401,41.980000000000004,65.4834,1132.6608800184176,34.4,3.0999999999999996,2.2533588079147036,29.07319,42.8,51.23333231608073,24.375,-1.2950193107128143,0.6573166400194168,0.6457088962197304,0.8391859903931618
Namibia,NaN,21.87015037536624,34.230000000000004,61.0921,5341.482942579989,59.1,13.8,1.8904114171309616,149.46625,63.7,39.37499999999997,50.75,0.135417952388525,0.6899867802858353,-0.18121983855962753,0.788174033164978
Nepal,58.253719999999994,13.97938569386801,30.119999999999997,69.2827,908.7548943003188,32.8,15,0.6626896654287284,NaN,41.5,53.174999237060526,29.875,-0.9245368540287018,0.4926207005977631,0.1144096713513136,0.7124306797981262
Netherlands,90.89364666666665,78.45918491908482,3.5200000000000005,81.47804878048781,50542.96023951741,28.21,0.09,24.41097621920591,4472.330076666667,37.32,NaN,82.875,1.833426034450531,0.7493524789810181,0.2710646539926529,0.9090360105037689
New Zealand,95.5284,80.41380855015348,4.61,81.3869268292683,40735.27325460325,NaN,NaN,10.028076897736543,4649.3885025,NaN,NaN,89.5,1.8019904017448425,0.7821008801460266,0.2543529622256756,0.930223947763443
Nicaragua,48.4211,NaN,17.09,73.5034,1892.3684492133434,46.2,3.4,1.6887985938931735,NaN,52.1,43.633333841959676,26.375,-0.8119933903217316,0.772457480430603,0.03181650936603546,0.8224830448627471
Niger,14.851310000000002,2.828288972377779,53.25,60.153999999999996,526.3338145189448,34.36666666666667,45.800000000000004,18.035321186606648,26.46415,42.96666666666667,68.09999847412107,33.75,-0.6938710868358612,0.6837471842765808,-0.030057210195809602,0.7579827964305877
Nigeria,NaN,9.87321472167971,79.47,52.855,2464.207818494392,35.55,41.45,2.934097234185329,NaN,42.825,55.1750011444092,26.625,-1.0601248443126678,0.7242907211184502,0.04063572431914508,0.7098555415868759
North Macedonia,NaN,39.900746481759185,8.75,75.58585365853659,5278.165196268686,36.26666666666667,5.988888888888889,3.651472707014851,704.8223755555556,41.46666666666667,8.30000019073486,39.75,0.037201646436005834,0.5242774963378907,-0.023752850107848646,0.6607512533664703
Norway,95.22063125,78.15224304199218,2.27,82.06341463414635,86805.15205825931,26.82,0.18,21.47944994483573,5834.8824488888895,36,0.00100000004749745,85.375,1.8805912971496581,0.7962701320648193,0.1615809808884348,0.9531921659197126
